13U 30 kg,,,,,,
Snatch,Katelyn Robinson,East Coast Gold,28,6/25/2022,2022 National Youth Championships,
Clean & Jerk,Katelyn Robinson,East Coast Gold,37,3/26/2022,East Coast Gold Spring Fling,
Total,Katelyn Robinson,East Coast Gold,64,3/26/2022,East Coast Gold Spring Fling,
13U 33 kg,,,,,,
Snatch,Zoey Phillips,Tough Temple Barbell Club,19,1/30/2021,Rosedale Open 2021,
Clean & Jerk,Zoey Phillips,Tough Temple Barbell Club,24,1/30/2021,Rosedale Open 2021,
Total,Zoey Phillips,Tough Temple Barbell Club,43,1/30/2021,Rosedale Open 2021,
13U 36 kg,,,,,,
Snatch,Zoey Phillips,Tough Temple Barbell Club,20,6/26/2021,Nike 2021 National Youth Championships,
Clean & Jerk,Zoey Phillips,Tough Temple Barbell Club,27,6/26/2021,Nike 2021 National Youth Championships,
Total,Zoey Phillips,Tough Temple Barbell Club,47,6/26/2021,Nike 2021 National Youth Championships,
13U 40 kg,,,,,,
Snatch,Tessa Hollander,Unattached,33,1/19/2020,2020 Baltimore Open,
Clean & Jerk,Tessa Hollander,Unattached,43,1/19/2020,2020 Baltimore Open,
Total,Tessa Hollander,Unattached,76,1/19/2020,2020 Baltimore Open,
13U 45 kg,,,,,,
Snatch,mariana deoliveira,OSS Weightlifting Club,31,11/28/2021,2021 Turkey Meet Charity Event,
Clean & Jerk,mariana deoliveira,OSS Weightlifting Club,43,1/15/2022,2022 Baltimore Open,
Total,mariana deoliveira,OSS Weightlifting Club,73,11/28/2021,2021 Turkey Meet Charity Event,
13U 49 kg,,,,,,
Snatch,Lucy Korn,Tough Temple Barbell Club,40,10/23/2022,Liftoberfest 2022,
Clean & Jerk,Lucy Korn,Tough Temple Barbell Club,48,10/23/2022,Liftoberfest 2022,
Total,Lucy Korn,Tough Temple Barbell Club,88,10/23/2022,Liftoberfest 2022,
13U 55 kg,,,,,,
Snatch,Amelia Phillips,Tough Temple Barbell Club,38,1/26/2020,Rosedale Open,
Clean & Jerk,Amelia Phillips,Tough Temple Barbell Club,44,1/26/2020,Rosedale Open,
Total,Amelia Phillips,Tough Temple Barbell Club,82,1/26/2020,Rosedale Open,
13U 59 kg,,,,,,
Snatch,Amelia Phillips,Tough Temple Barbell Club,44,12/3/2020,2020 Online National Youth Championships,
Clean & Jerk,Amelia Phillips,Tough Temple Barbell Club,55,12/3/2020,2020 Online National Youth Championships,
Total,Amelia Phillips,Tough Temple Barbell Club,99,12/3/2020,2020 Online National Youth Championships,
13U 64 kg,,,,,,
Snatch,Amelia Phillips,Tough Temple Barbell Club,54,6/26/2021,Nike 2021 National Youth Championships,
Clean & Jerk,Amelia Phillips,Tough Temple Barbell Club,64,6/26/2021,Nike 2021 National Youth Championships,
Total,Amelia Phillips,Tough Temple Barbell Club,118,6/26/2021,Nike 2021 National Youth Championships,
13U 64+ kg,,,,,,
Snatch,Milan Mack,White Rose Barbell Club,57,12/3/2020,2020 Online National Youth Championships,
Clean & Jerk,Milan Mack,White Rose Barbell Club,75,12/4/2020,2021 Online National Youth Championships,
Total,Milan Mack,White Rose Barbell Club,132,12/5/2020,2022 Online National Youth Championships,
14-15 36 kg,,,,,,
Snatch,None Established,,,,,
Clean & Jerk,None Established,,,,,
Total,None Established,,,,,
14-15 40 kg,,,,,,
Snatch,None Established,,,,,
Clean & Jerk,None Established,,,,,
Total,None Established,,,,,
14-15 45 kg,,,,,,
Snatch,None Established,,,,,
Clean & Jerk,None Established,,,,,
Total,None Established,,,,,
14-15 49 kg,,,,,,
Snatch,Kendall Williams,BASA Weightlifting,40,12/1/2022,Nike 2022 North American Open Finals,
Clean & Jerk,Kendall Williams,BASA Weightlifting,52,12/1/2022,Nike 2022 North American Open Finals,
Total,Kendall Williams,BASA Weightlifting,92,12/1/2022,Nike 2022 North American Open Finals,
14-15 55 kg,,,,,,
Snatch,Lucy Korn,Westminster Barbell,46,5/27/2023,BASA BIG Saturday Open 2023,
Clean & Jerk,Lucy Korn,Westminster Barbell,57,5/27/2023,BASA BIG Saturday Open 2024,
Total,Lucy Korn,Westminster Barbell,103,5/27/2023,BASA BIG Saturday Open 2025,
14-15 59 kg,,,,,,
Snatch,Grace Edwards,Bangarang Barbell,52,10/31/2020,2021 VA State Championships,"Virginia Beach, VA"
Clean & Jerk,Grace Edwards,Bangarang Barbell,63,10/31/2020,2021 VA State Championships,"Virginia Beach, VA"
Total,Grace Edwards,Bangarang Barbell,115,10/31/2020,2021 VA State Championships,"Virginia Beach, VA"
14-15 64 kg,,,,,,
Snatch,Wynter Montgomery,Unattached,54,6/26/2022,Nike 2022 National Youth Championships,
Clean & Jerk,Grace Edwards,Bangarang Barbell,66,1/19/2020,2020 Baltimore Open,
Total,Wynter Montgomery,Unattached,119,6/26/2022,Nike 2022 National Youth Championships,
14-15 71 kg,,,,,,
Snatch,Isabella Rivera,Philadelphia Barbell,77,12/4/2020,2020 Online National Youth Championships,
Clean & Jerk,Isabella Rivera,Philadelphia Barbell,100,12/4/2020,2020 Online National Youth Championships,
Total,Isabella Rivera,Philadelphia Barbell,177,12/4/2020,2020 Online National Youth Championships,
14-15 76 kg,,,,,,
Snatch,Alaina Strates,Bearproof Weightlifting,49,12/4/2020,2020 Online National Youth Championships,
Clean & Jerk,Alaina Strates,Bearproof Weightlifting,60,12/4/2020,2020 Online National Youth Championships,
Total,Alaina Strates,Bearproof Weightlifting,109,12/4/2020,2020 Online National Youth Championships,
14-15 76+ kg,,,,,,
Snatch,Makenna Mack,White Rose Barbell Club,75,12/4/2020,2020 Online National Youth Championships,\
Clean & Jerk,Makenna Mack,White Rose Barbell Club,92,12/4/2020,2020 Online National Youth Championships,
Total,Makenna Mack,White Rose Barbell Club,167,12/4/2020,2020 Online National Youth Championships,
16-17 45 kg,,,,,,
Snatch,Keely Lockwood,Westminster Barbell,29,8/1/2021,BASA BIG Sunday 2021,
Clean & Jerk,Keely Lockwood,Westminster Barbell,39,8/1/2021,BASA BIG Sunday 2021,
Total,Keely Lockwood,Westminster Barbell,68,8/1/2021,BASA BIG Sunday 2021,
16-17 49 kg,,,,,,
Snatch,Jaelyn Noon,Power & Grace Performance,61,6/28/2021,Nike 2021 National Youth Championships,
Clean & Jerk,Jaelyn Noon,Power & Grace Performance,75,6/28/2021,Nike 2021 National Youth Championships,
Total,Jaelyn Noon,Power & Grace Performance,136,6/28/2021,Nike 2021 National Youth Championships,
16-17 55 kg,,,,,,
Snatch,Ella Grizzle,Choptank,82,2/7/2020,2020 National Junior Championships,
Clean & Jerk,Ella Grizzle,Choptank,90,2/7/2020,2020 National Junior Championships,
Total,Ella Grizzle,Choptank,172,2/7/2020,2020 National Junior Championships,
16-17 59 kg,,,,,,
Snatch,Jaelyn Noon,Power & Grace Performance,61,2/8/2020,2020 National Junior Championships,
Clean & Jerk,Jaelyn Noon,Power & Grace Performance,79,2/8/2020,2020 National Junior Championships,
Total,Jaelyn Noon,Power & Grace Performance,140,2/8/2020,2020 National Junior Championships,
16-17 64 kg,,,,,,
Snatch,Lauren Ferris,Choptank,66,1/19/2020,2022 Old Dominion Classic,
Clean & Jerk,Paige Austin,LHO Barbell,82,12/8/2023,2023 Nike North American Open Finals,
Total,Lauren Ferris,Choptank,145,1/19/2020,2022 Old Dominion Classic,
16-17 71 kg,,,,,,
Snatch,Natalie Andrews,CHFP,85,12/6/2020,2020 Online National Youth Championships,
Clean & Jerk,Natalie Andrews,CHFP,104,7/31/2021,2020 Online National Youth Championships,
Total,Natalie Andrews,CHFP,189,7/31/2021,2020 Online National Youth Championships,
16-17 76 kg,,,,,,
Snatch,Isabella Rivera,Philadelphia Barbell,86,6/16/2022,2022 IWF Youth World Championships,
Clean & Jerk,Isabella Rivera,Philadelphia Barbell,108,6/16/2022,2022 IWF Youth World Championships,
Total,Isabella Rivera,Philadelphia Barbell,194,6/16/2022,2022 IWF Youth World Championships,
16-17 81 kg,,,,,,
Snatch,Makenna Mack,White Rose Barbell Club,73,6/27/2022,Nike 2022 National Youth Championships,
Clean & Jerk,Makenna Mack,White Rose Barbell Club,86,6/27/2022,Nike 2022 National Youth Championships,
Total,Makenna Mack,White Rose Barbell Club,159,6/27/2022,Nike 2022 National Youth Championships,
16-17 81+ kg,,,,,,
Snatch,Makenna Mack,White Rose Barbell Club,78,1/24/2021,2021 Baltimore Open,
Clean & Jerk,Makenna Mack,White Rose Barbell Club,93,1/24/2021,2021 Baltimore Open,
Total,Makenna Mack,White Rose Barbell Club,171,1/24/2021,2021 Baltimore Open,
